Date,Open,High,Low,Close,Adjusted_close,Volume
6/24/2019,4.73,4.79,4.55,4.65,4.65,1008607
6/25/2019,4.63,4.72,4.5,4.56,4.56,1327942
6/26/2019,4.59,4.7,4.55,4.68,4.68,953528
6/27/2019,4.76,5.1,4.76,5.06,5.06,3054256
6/28/2019,5.1,5.16,4.87,5,5,11298580
7/1/2019,5.05,5.28,5.05,5.15,5.15,2439309
7/2/2019,5.15,5.34,4.855,5.11,5.11,2190799
7/3/2019,5.14,5.41,5.06,5.35,5.35,1427868
7/5/2019,5.36,5.38,5.1,5.26,5.26,1793597
7/8/2019,5.22,5.24,5.0111,5.21,5.21,1286351
7/9/2019,5.2,5.27,5.15,5.24,5.24,987875
7/10/2019,5.29,5.3085,5.12,5.19,5.19,896267
7/11/2019,5.2,5.39,5.1701,5.32,5.32,1118035
7/12/2019,5.32,5.37,5.11,5.21,5.21,1213371
7/15/2019,5.23,5.31,5.1741,5.27,5.27,621270
7/16/2019,5.31,5.54,5.2,5.27,5.27,2235320
7/17/2019,5.3,5.44,5.155,5.25,5.25,1522704
7/18/2019,5.22,5.26,5.15,5.21,5.21,887958
7/19/2019,5.21,5.24,5.04,5.05,5.05,1229085
7/22/2019,5.08,5.11,4.58,4.94,4.94,2680553
7/23/2019,4.99,5.09,4.812,5.08,5.08,1002965
7/24/2019,5.1,5.48,5.1,5.46,5.46,1812952
7/25/2019,5.44,5.48,5.16,5.24,5.24,1040223
7/26/2019,5.29,5.35,5.195,5.22,5.22,700188
7/29/2019,5.22,5.42,5.06,5.4,5.4,1529785
7/30/2019,5.4,5.76,5.3,5.58,5.58,1941914
7/31/2019,5.7,5.713,5.28,5.43,5.43,1539915
8/1/2019,5.45,5.77,5.45,5.58,5.58,1896295
8/2/2019,5.57,5.72,5.44,5.58,5.58,1631317
8/5/2019,5.6,5.7,5.4338,5.66,5.66,3104942
8/6/2019,6,6.02,5.03,5.53,5.53,4063999
8/7/2019,5.49,5.61,5.27,5.58,5.58,1178021
8/8/2019,5.62,5.98,5.52,5.77,5.77,2317552
8/9/2019,5.83,6.39,5.83,6.33,6.33,4505336
8/12/2019,6.23,6.69,6.17,6.57,6.57,3923595
8/13/2019,6.77,6.98,6.68,6.89,6.89,3449424
8/14/2019,6.75,6.93,6.23,6.36,6.36,3725142
8/15/2019,6.42,6.64,5.82,5.95,5.95,4168173
8/16/2019,6.1,6.63,6.08,6.52,6.52,3681064
8/19/2019,6.9,6.96,6.42,6.59,6.59,2167590
8/20/2019,6.59,6.9,6.47,6.84,6.84,2130577
8/21/2019,6.96,7.62,6.77,7.47,7.47,5607966
8/22/2019,7.66,7.81,7.14,7.48,7.48,4319018
8/23/2019,7.45,7.7276,7.15,7.22,7.22,3311724
8/26/2019,7.47,7.52,7.21,7.31,7.31,1749117
8/27/2019,7.3,7.42,6.85,7.22,7.22,2701813
8/28/2019,7.14,7.375,6.95,7.32,7.32,1519677
8/29/2019,7.4,7.84,7.35,7.53,7.53,3363520
8/30/2019,7.61,7.82,7.41,7.61,7.61,2146333
9/3/2019,7.56,7.63,7.26,7.4,7.4,1973690
9/4/2019,7.5,7.69,7.25,7.36,7.36,2110805
9/5/2019,7.43,7.52,7.28,7.47,7.47,1891313
9/6/2019,7.5,7.5,7.26,7.27,7.27,1099016
