Date,Open,High,Low,Close,Adjusted_close,Volume
4/30/2008,25,28,25,27.5,27.5,9738.4
5/5/2008,26.25,26.25,24.95,25,25,800
5/13/2008,25,25,25,25,25,336
5/19/2008,25,25,20,23.75,23.75,1933.4
5/27/2008,21.25,23.75,20,20.5,20.5,5227.2
6/2/2008,21.75,21.75,10,10,10,3184
6/11/2008,13.75,13.75,13.75,13.75,13.75,1000
6/24/2008,13,13,13,13,13,1470
6/30/2008,10.25,15.75,10,14.5,14.5,5023
7/7/2008,10.5,10.5,10,10,10,200
7/15/2008,9.95,10,9.95,10,10,1420
7/23/2008,10,13.75,10,13.75,13.75,1283.2
7/28/2008,12.5,12.5,11.25,12.5,12.5,3900
8/13/2008,10.5,11.75,8.75,11.5,11.5,978.6
8/18/2008,10,10.5,10,10.5,10.5,4390.4
8/25/2008,11,12,10.4,11.9,11.9,7979.8
9/2/2008,11.5,11.5,11.5,11.5,11.5,100
9/9/2008,10,11,5.75,10.75,10.75,2693.2
9/15/2008,10.75,10.75,5,10.5,10.5,725.4
9/24/2008,9.5,12,7.75,12,12,2500
9/29/2008,12,15,8.75,11,11,2054
10/6/2008,8.75,11.2,8.75,11,11,2744
10/24/2008,7.5,7.5,7.5,7.5,7.5,200
10/28/2008,9.5,9.5,9.5,9.5,9.5,80
11/11/2008,6.25,8.75,3.75,5,5,26270.6
11/20/2008,3,7.5,3,3,3,2830
11/24/2008,5,7.5,5,7.5,7.5,12005.4
12/2/2008,5.3,8.75,5.05,8.75,8.75,195.4
12/23/2008,5.25,7.5,5.25,6,6,320
12/30/2008,7.5,8.75,7.5,8.75,8.75,1412.4
1/7/2009,5.25,7.25,5.25,7.25,7.25,320
1/13/2009,5.25,7,5.25,7,7,1261.4
1/29/2009,4,7,4,7,7,181
2/18/2009,3.8,6.75,2.75,5.05,5.05,1607
2/24/2009,2.6,4.55,2.565,2.565,2.565,2046
3/2/2009,2.5,4.45,2.5,4.25,4.25,2280
3/19/2009,3,4.4,3,4.4,4.4,1020
3/23/2009,4.4,4.45,3.25,4.45,4.45,2266
3/30/2009,4,4.55,4,4.55,4.55,629.8
4/8/2009,4.5,4.5,4,4.25,4.25,5541.6
4/15/2009,3.25,3.25,3.25,3.25,3.25,100
4/23/2009,2.55,4.45,2.5,4.45,4.45,1076.8
4/29/2009,2.15,4.5,2.05,2.25,2.25,9720
5/4/2009,2.25,2.5,1.55,1.55,1.55,7139
5/11/2009,1.55,2.75,1.55,2.75,2.75,135
5/18/2009,2.5,2.75,2.5,2.5,2.5,2860
5/27/2009,2.65,3.75,2.5,3,3,6105
6/1/2009,4.5,4.5,2.25,2.95,2.95,8940
6/8/2009,3,3,2.3,3,3,9363.8
6/15/2009,2.35,3.75,2.35,3.05,3.05,15064.8
6/29/2009,3,3,2.1,2.95,2.95,796.2
7/7/2009,2.75,2.75,2.75,2.75,2.75,2000
7/15/2009,2.75,2.75,2.75,2.75,2.75,2000
