Date,Open,High,Low,Close,Adjusted_close,Volume
12/29/1980,45.876,49.754,45.633,49.754,0.4961,244803
1/5/1981,49.754,54.756,49.38,54.25,0.5408,1483705
1/12/1981,54.878,56.255,52.002,52.377,0.5221,457004
1/19/1981,52.883,53.754,51.749,53.379,0.5323,464005
1/26/1981,54.007,54.503,52.883,53.501,0.5338,269504
2/2/1981,53.004,55.252,52.377,54.624,0.5446,519203
2/9/1981,55.131,56.751,54.624,54.878,0.5474,520402
2/17/1981,55.009,55.131,52.883,54.007,0.5385,473304
2/23/1981,54.756,60.507,53.379,59.505,0.5958,1094205
3/2/1981,59.252,59.505,56.508,57.5,0.5757,482505
3/9/1981,58.755,60.375,57.632,59.13,0.5912,577105
3/16/1981,59.879,61.256,58.249,60.882,0.6097,521101
3/23/1981,61.499,62.623,60.882,61.125,0.6117,599604
3/30/1981,62.006,63.251,60.629,62.38,0.6244,311104
4/6/1981,62.259,64.881,61.752,64.506,0.646,571104
4/13/1981,66.38,67.25,64.253,67.129,0.672,839603
4/20/1981,67.503,68.253,67.007,68,0.6802,475503
4/27/1981,68.374,68.506,62.623,63.504,0.6354,479905
5/4/1981,61.256,62.623,60.507,60.629,0.6068,494905
5/11/1981,60.001,62.259,59.626,62.259,0.6258,239702
5/18/1981,63.008,64.253,62.38,63.757,0.6404,317602
5/26/1981,64.749,68.131,63.626,67.503,0.6779,425503
6/1/1981,68.749,69.002,66.876,67.25,0.6757,424904
6/8/1981,67.007,68.627,66.126,68,0.6834,271204
6/15/1981,69.508,70.257,66.876,67.007,0.6734,519404
6/22/1981,67.007,68.253,66.501,66.754,0.6709,375503
6/29/1981,66.005,66.633,62.502,62.876,0.6317,280004
7/6/1981,63.251,64,60.001,60.507,0.6083,384605
7/13/1981,61.256,65.003,60.629,64.749,0.6504,195105
7/20/1981,63.757,64.375,60.75,62.38,0.6268,327804
7/27/1981,63.008,63.757,59.383,61.125,0.6166,266902
8/3/1981,62.623,63.504,61.256,62.623,0.6317,231203
8/10/1981,62.876,64.628,62.38,63.129,0.6369,372004
8/17/1981,62.259,63.251,59.748,59.748,0.6025,237204
8/24/1981,58.381,59.505,57.257,58.006,0.5854,502705
8/31/1981,57.378,59.252,57.125,57.875,0.5842,465205
9/8/1981,57.5,60.254,56.751,60.001,0.6054,529504
9/14/1981,60.629,61.256,59.13,59.505,0.6001,824504
9/21/1981,61.378,61.499,57.5,58.128,0.5864,919602
9/28/1981,61.874,62.755,57.378,62.502,0.6305,771803
10/5/1981,63.251,66.633,63.008,65.256,0.6583,929704
10/12/1981,65.63,66.501,63.626,65.499,0.6604,690304
10/19/1981,67.878,70.004,65.256,65.883,0.6647,696602
10/26/1981,67.25,70.004,65.499,70.004,0.709,722305
11/2/1981,72.748,72.88,66.633,67.382,0.6824,1285403
11/9/1981,68.506,69.873,66.633,67.007,0.6781,468404
11/16/1981,65.883,67.625,65.499,67.503,0.6837,498802
11/23/1981,66.754,68.506,66.126,68.131,0.6895,435204
11/30/1981,67.503,68.374,64,66.005,0.6682,512704
12/7/1981,65.003,66.754,64.375,65.499,0.6633,478105
12/14/1981,64.628,66.258,63.129,66.258,0.6709,422103
12/21/1981,66.38,66.633,64.628,65.003,0.6582,288203
12/28/1981,65.003,65.377,64.628,65.377,0.6616,207604
1/4/1982,65.003,65.377,61.256,62.006,0.6278,538103
1/11/1982,60.254,62.259,58.006,59.879,0.6063,506503
1/18/1982,60.882,61.499,59.252,60.507,0.6131,454404
1/25/1982,59.626,64.253,58.624,63.626,0.6446,741605
2/1/1982,62.259,64.506,61.752,64,0.6504,516002
2/8/1982,62.502,64.132,59.505,60.254,0.6129,789705
2/16/1982,60.132,60.375,58.624,59.879,0.6091,821803
2/22/1982,59.13,60.629,58.755,59.626,0.6062,694704
3/1/1982,61.256,63.504,59.505,62.755,0.638,955902
3/8/1982,60.75,63.251,60.001,61.003,0.6197,750804
3/15/1982,61.631,64.132,60.75,63.757,0.6481,807305
3/22/1982,65.134,67.25,63.757,66.005,0.6711,948403
3/29/1982,66.126,68.88,65.256,68,0.6911,979203
4/5/1982,68.374,70.004,67.503,69.873,0.7105,593903
4/12/1982,69.255,70.004,67.625,68.627,0.6978,522304
4/19/1982,68.506,69.873,67.757,68.131,0.6928,405404
4/26/1982,69.002,69.002,66.258,67.007,0.6812,749103
5/3/1982,67.757,69.123,66.876,67.007,0.6812,714205
5/10/1982,65.883,67.129,64.628,66.005,0.6711,939301
5/17/1982,65.499,66.38,64.749,66.258,0.6737,522605
